motif_id,Odds_Ratio,P_Value,Foreground_Count,Background_Count,Adj_P_Value,motif_alt_id
MA1037.2,1.0009969347379746,1.0,193,180,1.0,MYB24
MA1038.2,0.9811342248634648,0.8673191814351502,165,157,1.0,MYB3
MA1039.1,1.0552289980358365,0.5523521685122387,295,261,0.9330331158728792,MYB4
MA1040.1,0.9738500948856718,0.7688288185857622,290,278,0.9854508966992043,MYB46
MA1041.1,0.8888276533476266,0.2726609443479463,179,188,0.8119327170544471,MYB55
MA1042.1,1.0241879943073084,0.8224071044835523,260,237,0.9979676925639887,MYB59
MA1043.2,0.8090567323547486,0.18925223660525287,78,90,0.701521379667639,NAC083
MA1044.2,0.873550396469089,0.1725494748395243,204,218,0.6968486317680407,NAC92
MA1045.2,0.9101868468966668,0.3648126243664297,195,200,0.8727123486522969,NAC043
MA1046.1,1.088068392886105,0.31711340542504957,310,266,0.8536741104218064,NTL9
MA1047.3,1.0597759734670942,0.5231986244220568,294,259,0.9238814193852523,TGA5
MA1048.1,1.1485015148011168,0.25700011683785384,155,126,0.7945680468174695,ERF018
MA1049.2,0.8465346472901766,0.1533169824883765,146,161,0.6762491810941367,ERF094
MA1050.1,0.8792433694438033,0.2502846925839304,162,172,0.78407770951072,OsI_08196
MA1051.1,0.9129481216309758,0.46454245096546165,133,136,0.9053561594897231,RAP2-3
MA1053.1,0.7822919238683317,0.05460897780828982,119,142,0.45568472832978313,ERF109
MA1054.2,0.7116171715292827,0.0014414121674389921,154,202,0.04341718665421965,ARALYDRAFT_897773
MA1055.3,1.0125709612856733,0.9515497593899181,141,130,1.0,SPL1
MA1056.2,0.9076139618228328,0.49343013494286014,105,108,0.9053561594897231,SPL11
MA1059.3,1.0629966833508737,0.6831096172363363,115,101,0.9548974835667107,SPL5
MA1061.2,1.0595347078736683,0.479450919542061,345,304,0.9053561594897231,SPT
MA1062.3,1.2032871135265841,0.05920589214642598,241,187,0.4709861981985347,TCP15
MA1063.2,1.159960635376201,0.22183504540416854,164,132,0.7560686154998201,TCP19
MA1064.2,0.7747671176423025,0.016021792969608012,166,200,0.1990075337277627,TCP2
MA1065.3,1.1585090280399464,0.1338130021427372,237,191,0.6605879909003189,TCP20
MA1066.1,0.868611485134572,0.18800971040350306,174,187,0.701521379667639,TCP23
MA1067.1,0.9150633095010495,0.5714471344824188,99,101,0.9367004837264522,TCP5
MA1068.3,1.132559611062194,0.1690699915687892,279,230,0.6959392676203648,TGA2
MA1069.3,1.0810708780318998,0.27845307655438883,440,380,0.8119327170544471,TGA6
MA1070.3,1.0761618164056956,0.39933300666903565,302,262,0.8866887706272313,TGA7
MA1074.2,1.0005075154814769,1.0,284,265,1.0,UNE10
MA1075.1,1.07754111245849,0.39141704202669003,292,253,0.8855392520137562,WRKY12
MA1076.3,1.1037047329774077,0.24021384434029192,331,280,0.775688598413404,WRKY15
MA1078.2,1.206242686545681,0.10163562863520105,177,137,0.5756642005897787,WRKY2
MA1079.3,1.0745302907428813,0.18477860800982338,763,663,0.701521379667639,WRKY21
MA1080.1,1.0078409645483086,0.9410165121182941,380,352,1.0,WRKY23
MA1081.3,1.064338784522312,0.40036323152330044,399,350,0.8866887706272313,WRKY25
MA1083.3,1.1092339770916793,0.15887693115019538,417,351,0.6776196822550502,WRKY30
MA1084.1,1.1203746657099993,0.2019555334180519,282,235,0.7129053812278009,WRKY38
MA1087.3,1.0957770253461203,0.06725178568339582,886,755,0.5012027817246761,WRKY45
MA1090.2,1.206242686545681,0.10163562863520105,177,137,0.5756642005897787,WRKY60
MA1091.1,1.0903221076455,0.17970626154617725,529,453,0.701521379667639,WRKY62
MA1093.2,1.206242686545681,0.10163562863520105,177,137,0.5756642005897787,WRKY75
MA1094.3,1.0813630001998022,0.14560205813367622,769,664,0.6725101988042739,WRKY8
MA1095.1,1.2096657845700527,0.13920149613174826,149,115,0.6725101988042739,ARALYDRAFT_495258
MA1096.1,1.0072779518391668,0.955171105402246,164,152,1.0,ARALYDRAFT_496250
MA1097.1,0.6875005758706406,0.0017930360569943832,123,167,0.04701738993896382,ARALYDRAFT_493022
MA1098.1,1.2096657845700527,0.13920149613174826,149,115,0.6725101988042739,ARALYDRAFT_484486
MA1156.2,1.0011975092904868,0.9736604914657332,1910,1781,1.0,JKD
MA1157.2,0.9767964084473826,0.616967267630102,993,949,0.9548974835667107,NUC
MA1158.2,0.9948527634291369,0.9118015162077837,1055,990,1.0,MGP
MA1159.2,1.0229963953477152,0.4551188260034831,2360,2154,0.9053561594897231,SGR5
MA1160.2,1.0177103169062398,0.5817068188747996,2119,1944,0.9367004837264522,IDD6
MA1161.1,0.9685826790073574,0.21122443579967604,3159,3044,0.7259558278940322,TSO1
MA1162.1,0.9792673466419387,0.4392848961520398,2905,2769,0.9053561594897231,TCX2
MA1163.3,0.9280888820609215,0.2373952738843544,517,520,0.775688598413404,PHL11
MA1164.2,0.91045708958554,0.1464657947071773,475,487,0.6725101988042739,HHO5
MA1165.3,1.0206274329441831,0.7502082746517295,516,472,0.981220253557993,HHO6
MA1166.2,0.9524764394792369,0.33952123130827644,802,786,0.857663300107687,PHL12
MA1167.2,0.9436732903192667,0.39156285255025786,464,459,0.8855392520137562,EFM
MA1168.2,0.9435271691003982,0.3388025856776106,564,558,0.857663300107687,MYR2
MA1169.1,0.9132338242939421,0.19621973232485915,406,415,0.7124285665948732,MYB105
MA1170.2,1.039860483059398,0.6609906471677092,274,246,0.9548974835667107,MYB118
MA1171.2,1.0418288063866805,0.7697095280715536,154,138,0.9854508966992043,MYB52
MA1172.2,1.057764830364185,0.4487628365342066,409,361,0.9053561594897231,MYB3R5
MA1173.2,0.9547847454495366,0.5016860795824818,449,439,0.9154477947020545,MYB101
MA1174.2,1.0178894783448762,0.8413742356989954,326,299,1.0,MYB56
MA1175.2,0.9480239474762006,0.5043165097137946,327,322,0.9159464207911799,MYB81
MA1176.2,0.9784428103102958,0.8462467511540028,218,208,1.0,MYB119
MA1177.2,0.8569042590488787,0.14723034013370404,179,195,0.6725101988042739,MYB65
MA1178.3,1.0772526150819701,0.4223274078492448,270,234,0.9006259179435702,MYB3R1
MA1179.2,1.0418288063866805,0.7697095280715536,154,138,0.9854508966992043,MYB1
MA1180.2,1.06476655969427,0.4521913855526675,341,299,0.9053561594897231,MYB3R4
MA1181.2,1.0163406194513436,0.8172197425728389,479,440,0.9979676925639887,MYB113
MA1182.2,1.0127746444904764,0.7934265645900754,921,849,0.9979676925639887,RVE8
MA1183.2,0.9947745719467121,0.9138001762756174,1105,1037,1.0,RVE6
MA1184.2,1.022490968475644,0.6432185244382211,978,893,0.9548974835667107,RVE1
MA1185.2,0.992640897562317,0.8871267840936048,924,869,1.0,LHY
MA1186.2,1.0050350431851436,0.9322544869451341,647,601,1.0,YAB4
MA1187.2,0.9712981736030983,0.46094819215224897,1361,1308,0.9053561594897231,RVE4
MA1188.1,0.9934084927369549,0.8799774636981322,1112,1045,1.0,At3g11280
MA1189.2,1.0180868073650355,0.7216496694629426,928,851,0.9640150301504968,AT5G61620
MA1190.2,1.012344429589893,0.7835552006248514,1170,1079,0.9941883190723921,RVE5
MA1191.2,1.0053142335431442,0.9244214930654465,925,859,1.0,RVE7L
MA1192.2,1.0491557433237948,0.4393854797226293,554,493,0.9053561594897231,DIV1
MA1193.2,0.9588703067818087,0.4004142423139303,831,809,0.8866887706272313,AT2G38090
MA1194.2,1.0563622364767202,0.23892850239581573,999,883,0.775688598413404,AT3G10580
MA1195.2,1.0455174373467155,0.3660872532380479,888,793,0.8727123486522969,AT5G56840
MA1196.2,1.007492814535157,0.8776361719213643,1077,998,1.0,AT5G05790
MA1197.2,1.1404463537248335,0.23985795869184356,193,158,0.775688598413404,CAMTA1
MA1198.2,1.0503663697395575,0.3646993731598035,747,664,0.8727123486522969,HAT2
MA1199.1,0.8777328456530099,0.010504066829108295,758,806,0.1583903443567691,AGL16
MA1203.1,0.9730627471432085,0.5979685719783272,812,779,0.9488673380055862,AGL63
MA1204.1,0.9504434529027342,0.16844946467551206,1504,1477,0.6959392676203648,AGL13
MA1205.1,0.9339639847580292,0.06839650433201501,1454,1453,0.5044242194486107,AGL6
MA1207.2,1.0788552312038286,0.1873564993826854,654,566,0.701521379667639,GT-3a
MA1208.2,0.9746354221107278,0.5949392795888853,877,840,0.9473018396979508,GT-2
MA1209.2,1.0397823344854058,0.3086886590160878,1490,1338,0.8432604508379036,ATHB-20
MA1210.3,0.9927526908787774,0.8991705212420564,805,757,1.0,HAT22
MA1211.2,1.031449730255595,0.46564158795184757,1213,1098,0.9053561594897231,ATHB-X
MA1212.2,0.9947404396348614,0.9226355634609582,878,824,1.0,ATHB-13
MA1213.3,0.9849675775188692,0.7716808734820418,881,835,0.9861914412008767,ZHD3
MA1214.2,1.0086008391048555,0.8475774000168921,1143,1058,1.0,ATHB-40
MA1215.2,1.0215208740398447,0.5731101855727143,1488,1360,0.9367004837264522,ATHB-53
MA1218.2,1.1120159317909608,0.33190694975055723,187,157,0.857663300107687,DREB1D
MA1219.3,0.9797273463117592,0.8764852066270231,191,182,1.0,ERF011
MA1220.2,1.126982613101954,0.2546658207556076,204,169,0.7942881105505295,TINY
MA1221.1,0.7377392741426925,3.591635769620268e-05,332,420,0.008476260416303833,RAP2-6
MA1222.1,0.9229468848703669,0.2378891635528784,438,443,0.775688598413404,ERF014
MA1223.2,1.1922911765817277,0.1139213440349942,189,148,0.6129680299531076,ERF035
MA1225.1,0.7943381760550385,0.0001920587101470116,486,571,0.015108618531564913,ERF5
MA1226.2,0.8711973434320499,0.049029037014157666,406,435,0.4285501013089337,DREB2G
MA1227.3,1.1055951109276385,0.37965452455495396,180,152,0.8727123486522969,ERF027
MA1228.2,0.7114154656915799,1.003858340679965e-05,295,387,0.004796631632875782,ERF091
